subj range stair stan yhat se
1 low stair_59.0_low_1 59 16.25 1.79284291400159
1 low stair_59.0_low_2 59 20.6875 2.53447215552723
1 low stair_59.0_low_3 59 18 2.33987179135952
1 low stair_59.0_low_4 59 19.375 1.0978875820671
1 low stair_61.5_low_1 61.5 28.1875 1.0511473323401
1 low stair_61.5_low_2 61.5 33.125 1.14929131890669
1 low stair_61.5_low_3 61.5 31.1875 1.80772153354911
1 low stair_61.5_low_4 61.5 28.8125 2.24403972462929
1 low stair_64.0_low_1 64 32.1875 0.979419926720476
1 low stair_64.0_low_2 64 29.9375 1.22747563257746
1 low stair_64.0_low_3 64 28.75 1.87559514364298
1 low stair_64.0_low_4 64 31.125 1.57672099851015
1 low stair_66.5_low_1 66.5 35.125 2.35783269126543
1 low stair_66.5_low_2 66.5 36.875 0.525573666170051
1 low stair_66.5_low_3 66.5 38.3125 0.566946709513841
1 low stair_66.5_low_4 66.5 36.5 1.51995653133333
1 low stair_69.0_low_1 69 37.5625 2.26667924979
1 low stair_69.0_low_2 69 40.3125 2.3953079134007
1 low stair_69.0_low_3 69 39 1.43847016951045
1 low stair_69.0_low_4 69 42.5625 0.893615749157801
1 medium stair_66.5_medium_1 66.5 48.75 1.03913382542522
1 medium stair_66.5_medium_2 66.5 46.875 2.09151666603107
1 medium stair_66.5_medium_3 66.5 54.5 1.80957275936299
1 medium stair_66.5_medium_4 66.5 46.875 1.44543616748915
1 medium stair_69.0_medium_1 69 50.625 0.979419926720476
1 medium stair_69.0_medium_2 69 50.875 1.74168945075095
1 medium stair_69.0_medium_3 69 51.125 1.38692072849996
1 medium stair_69.0_medium_4 69 53.625 2.14330352493528
1 medium stair_71.5_medium_1 71.5 56 0.940174755792013
1 medium stair_71.5_medium_2 71.5 51.4375 1.01961783807184
1 medium stair_71.5_medium_3 71.5 49.6875 0.915820767711362
1 medium stair_71.5_medium_4 71.5 54.375 1.71846588560844
1 medium stair_74.0_medium_1 74 61.25 2.14111536354303
1 medium stair_74.0_medium_2 74 60.5 0.893615749157801
1 medium stair_74.0_medium_3 74 58.3125 1.02207771580387
1 medium stair_74.0_medium_4 74 56.5 0.870844725375474
1 medium stair_76.5_medium_1 76.5 60.75 1.32203171563426
1 medium stair_76.5_medium_2 76.5 58.9375 1.59729123384381
1 medium stair_76.5_medium_3 76.5 63.3125 0.617815853285935
1 medium stair_76.5_medium_4 76.5 64.3125 0.629891572302045
1 high stair_74.0_high_1 74 64.4375 0.597147235971642
1 high stair_74.0_high_2 74 66.375 1.0978875820671
1 high stair_74.0_high_3 74 63.5 0.979419926720476
1 high stair_74.0_high_4 74 62.5625 1.16879058371097
1 high stair_76.5_high_1 76.5 67 0.823415686550325
1 high stair_76.5_high_2 76.5 66.1875 0.5625
1 high stair_76.5_high_3 76.5 66.6875 1.32771789979219
1 high stair_76.5_high_4 76.5 66.25 1.53802255928096
1 high stair_79.0_high_1 79 67.25 0.9375
1 high stair_79.0_high_2 79 68.9375 1.26773138209277
1 high stair_79.0_high_3 79 66.625 0.694365074829414
1 high stair_79.0_high_4 79 64.4375 1.52655073379732
1 high stair_81.5_high_1 81.5 68.875 1.6875
1 high stair_81.5_high_2 81.5 68.75 0.773082304803311
1 high stair_81.5_high_3 81.5 68.25 0.893615749157801
1 high stair_81.5_high_4 81.5 68.6875 0.679745225381224
1 high stair_84.0_high_1 84 70.75 1.26574900186186
1 high stair_84.0_high_2 84 69.625 2.09751128040556
1 high stair_84.0_high_3 84 68.25 0.789156421213727
1 high stair_84.0_high_4 84 71.1875 0.525573666170051
2 low stair_59.0_low_1 59 21.5625 0.885145266528124
2 low stair_59.0_low_2 59 20.5 1.01961783807184
2 low stair_59.0_low_3 59 19.5625 2.15855854680849
2 low stair_59.0_low_4 59 20.0625 1.62225042104215
2 low stair_61.5_low_1 61.5 29.1875 0.896421457000795
2 low stair_61.5_low_2 61.5 31.0625 0.885145266528124
2 low stair_61.5_low_3 61.5 29.125 1.466135591079
2 low stair_61.5_low_4 61.5 28.125 1.35949045076245
2 low stair_64.0_low_1 64 34.25 1.01220233719774
2 low stair_64.0_low_2 64 30.5625 0.798645616921906
2 low stair_64.0_low_3 64 30.75 0.99972094320651
2 low stair_64.0_low_4 64 32.4375 1.03913382542522
2 low stair_66.5_low_1 66.5 33.9375 1.34276334208867
2 low stair_66.5_low_2 66.5 33.875 1.08870007676258
2 low stair_66.5_low_3 66.5 30.8125 1.01961783807184
2 low stair_66.5_low_4 66.5 32.1875 0.566946709513841
2 low stair_69.0_low_1 69 35.0625 2.14837459323488
2 low stair_69.0_low_2 69 36.9375 1.0978875820671
2 low stair_69.0_low_3 69 35.5 1.81511510851044
2 low stair_69.0_low_4 69 35.9375 0.54894379103355
2 medium stair_66.5_medium_1 66.5 40.3125 0.896421457000795
2 medium stair_66.5_medium_2 66.5 41.5625 1.28152218363275
2 medium stair_66.5_medium_3 66.5 41.4375 0.629891572302045
2 medium stair_66.5_medium_4 66.5 40.75 0.617815853285935
