# {'Alias': '04', 'Session': '03', 'tstamp': '20230816_0949', 'nTrials': 50}
subj stair range standard standard_rgb comparison start_dir trial response rt 
04 training low 62.67 39 42 low 1 f 1.69
04 training low 65.33 44 48 high 1 j 1.77
04 training low 68.0 50 46 high 1 j 2.38
04 training low 60.0 33 27 high 1 f 2.38
04 training low 62.67 39 50 low 2 j 11.41
04 training low 65.33 44 40 high 2 f 1.78
04 training low 60.0 33 35 high 2 j 3.18
04 training low 68.0 50 38 high 2 f 3.07
04 training low 68.0 50 44 high 3 j 2.38
04 training low 65.33 44 46 high 3 space 5.83
04 training low 62.67 39 44 low 3 f 3.47
04 training low 60.0 33 29 high 3 j 7.07
04 training low 65.33 44 52 high 4 j 7.17
04 training low 60.0 33 23 high 4 space 6.42
04 training low 68.0 50 40 high 4 f 10.43
04 training low 62.67 39 48 low 4 j 7.62
04 training low 65.33 44 48 high 5 j 1.19
04 training low 68.0 50 44 high 5 f 1.76
04 training low 60.0 33 17 high 5 space 2.38
04 training low 62.67 39 44 low 5 j 5.58
04 training low 68.0 50 48 high 6 f 1.7
04 training low 60.0 33 11 high 6 space 3.03
04 training low 65.33 44 44 high 6 f 4.39
04 training low 62.67 39 40 low 6 space 5.0
04 training low 60.0 33 10 high 7 f 13.82
04 training low 65.33 44 48 high 7 space 5.56
04 training low 62.67 39 36 low 7 space 2.38
04 training low 68.0 50 52 high 7 j 1.67
04 training low 62.67 39 32 low 8 f 3.55
04 training low 68.0 50 48 high 8 j 5.14
04 training low 60.0 33 14 high 8 f 7.41
04 training low 65.33 44 52 high 8 j 5.51
04 training low 65.33 44 48 high 9 j 1.36
04 training low 60.0 33 18 high 9 space 6.41
04 training low 62.67 39 36 low 9 j 11.41
04 training low 68.0 50 44 high 9 f 4.4
04 training low 65.33 44 44 high 10 f 2.38
04 training low 60.0 33 22 high 10 space 2.38
04 training low 62.67 39 32 low 10 space 3.07
04 training low 68.0 50 48 high 10 space 1.79
04 training low 62.67 39 28 low 11 space 6.4
04 training low 65.33 44 48 high 11 j 2.38
04 training low 60.0 33 26 high 11 f 2.38
04 training low 68.0 50 52 high 11 j 4.39
04 training low 62.67 39 24 low 12 f 1.72
04 training low 60.0 33 30 high 12 j 4.4
04 training low 60.0 33 26 high 13 space 2.97
04 training low 60.0 33 22 high 14 f 4.4
04 training low 60.0 33 26 high 15 space 4.39
04 training low 60.0 33 30 high 16 space 6.41
04 training low 60.0 33 34 high 17 j 3.75
04 training low 60.0 33 30 high 18 space 1.8
04 training low 60.0 33 26 high 19 j 7.46
04 training low 60.0 33 22 high 20 f 8.43
04 stair_61.5_low_3 low 61.5 36 34 high 1 j 10.43
04 stair_66.5_low_4 low 66.5 46 23 low 1 f 1.58
04 stair_59.0_low_4 low 59.0 31 29 high 1 f 1.39
04 stair_64.0_low_2 low 64.0 41 20 low 1 f 3.11
04 stair_66.5_low_3 low 66.5 46 41 low 1 space 2.38
04 stair_64.0_low_3 low 64.0 41 47 high 1 j 2.38
04 stair_61.5_low_4 low 61.5 36 20 low 1 f 1.77
04 stair_64.0_low_4 low 64.0 41 48 high 1 j 1.37
04 stair_61.5_low_2 low 61.5 36 43 high 1 j 1.75
04 stair_66.5_low_2 low 66.5 46 47 high 1 j 1.33
04 stair_64.0_low_1 low 64.0 41 50 high 1 j 1.33
04 stair_59.0_low_2 low 59.0 31 23 low 1 space 1.6
04 stair_59.0_low_1 low 59.0 31 36 high 1 j 1.57
04 stair_66.5_low_1 low 66.5 46 40 low 1 j 1.27
04 stair_59.0_low_3 low 59.0 31 30 high 1 f 1.29
04 stair_69.0_low_4 low 69.0 52 35 low 1 j 1.67
04 stair_69.0_low_2 low 69.0 52 34 low 1 f 1.5
04 stair_69.0_low_1 low 69.0 52 26 low 1 f 1.17
